date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015/5/3,26571,24868,24156,23815,23781,24302,26552,30474,32858,33861,34148,33993,33623,33364,32156,31359,30902,30749,31076,33780,35412,34517,32087,29078
2015/5/4,22695,21047,19928,19240,18912,18865,19282,19506,19643,21447,22831,23472,23452,23465,23203,22336,21584,21284,21427,21879,23746,26749,25928,24068
2015/5/5,25111,23821,22992,22576,22335,22841,24767,27213,29638,30938,31558,31957,32224,32009,30788,30122,30002,29977,29545,29356,29874,31166,29407,26707
2015/5/6,26573,25139,23995,23437,23360,23631,25023,27260,29660,31027,32240,32861,33369,33534,32539,31941,31921,32097,31923,31403,30845,30670,30146,28164
2015/5/7,27589,25894,24390,23412,22896,22616,22256,21877,23009,24813,26651,27824,28803,29874,30452,30135,29630,29312,29272,29286,29557,30451,31642,30222
2015/5/8,28240,26321,24975,24280,23907,24179,25639,27175,29438,31888,33513,34641,35550,36285,35647,34963,34828,34819,34366,33606,32895,33368,32890,30717
2015/5/9,25516,24011,22893,22114,21833,21692,21880,22388,23241,25317,27033,27499,27664,27820,27219,26058,25436,25213,25195,25214,26348,28156,26477,24758
2015/5/10,23103,21944,21305,20996,21010,21656,24026,27781,29810,30730,31761,32159,32651,32456,31292,30630,30278,30458,30129,30743,32913,32042,28978,26348
2015/5/11,24586,23128,22209,21872,21811,22224,24412,27770,29788,30806,31266,31488,31608,31385,30298,29536,29338,29773,32069,32956,32947,31813,29010,26318
2015/5/12,27449,25432,23884,23123,22716,22683,23350,24718,26158,28734,30456,30328,29773,29563,28878,27787,27231,27824,30150,30703,31027,30771,29523,27589
2015/5/13,25775,24127,23031,22821,22651,23028,24751,27350,29538,30808,31535,32136,32946,33209,32305,31883,32098,32472,31987,31554,31447,31997,30455,28098
2015/5/14,26430,24909,23836,23525,23233,23528,25254,27548,30033,31556,32399,33125,33941,34143,33101,32782,32995,33024,32495,31916,31598,32293,30766,28123
2015/5/15,26377,24858,23878,23265,23014,23285,24684,26585,28446,29632,30482,30903,31365,31279,30194,29511,29336,29336,29025,28773,28702,29540,28556,26622
2015/5/16,25303,23837,22843,22154,21823,21735,21815,22012,23752,25879,27476,27959,28181,28319,27341,26052,25408,25223,25194,25268,25507,26945,26941,25289
2015/5/17,23763,22239,21154,20462,20175,20130,19988,19721,20913,22671,24370,25102,25411,25814,25432,24359,23761,23487,23726,24098,24692,26824,27437,25439
2015/5/18,23568,22176,21382,21126,21105,21655,23781,26332,28961,30299,31135,31753,32417,32547,31321,30774,30809,30987,30691,30318,30393,31297,29904,27171
2015/5/19,25647,24204,23385,23007,22949,23268,24819,27257,29725,30981,31588,32067,32476,32284,31034,30394,30315,30409,30255,30072,30174,30798,29443,26694
2015/5/20,25250,23820,23009,22642,22497,22946,24518,26634,28939,30260,30953,31371,31637,31355,30221,29374,29353,29419,29055,28869,29215,30224,29089,26603
2015/5/21,25115,23648,22838,22503,22305,22603,24254,26522,28829,29886,30518,30896,31239,31022,29869,29191,29169,29261,29228,28953,29176,30267,29398,26890
2015/5/22,25530,24112,23197,22701,22521,23008,24632,26895,29117,30227,30895,31288,31492,31388,30136,29358,29183,29173,28951,28724,28698,29543,28844,26749
2015/5/23,25502,24069,22995,22332,22135,21945,21841,22220,24023,26181,27576,27991,28098,28095,27127,25906,25264,25096,25100,25238,25634,27048,27022,25326
2015/5/24,23785,22267,21244,20620,20320,20250,20060,19834,20790,22271,23670,24393,24597,24871,24642,23456,22869,22498,22711,23160,24218,26092,26837,25190
2015/5/25,23507,21944,21114,20745,20754,21406,23360,25991,28376,29772,30480,30671,31056,31018,30158,29566,29436,29459,29160,28999,29330,30252,29293,26741
2015/5/26,25120,23845,22932,22613,22451,22867,24483,26864,29118,30299,30885,31355,31819,31805,30873,30125,30156,30284,29843,29527,29715,30510,29686,27064
2015/5/27,25625,24097,23266,22909,22828,23087,24616,27006,29317,30405,31262,31738,32197,32249,31147,30555,30569,30643,30369,30021,30022,30517,29661,27281
2015/5/28,25724,24211,23174,23021,22831,23214,24709,27060,29374,30674,31560,32089,32594,32729,31654,31135,31293,31391,31046,30560,30462,30881,30169,27612
2015/5/29,26194,24704,23628,28696.93991,23046,23240,24750,27082,29251,30577,31451,31883,32344,32263,31156,30428,30309,30184,29691,29350,29350,29745,29069,27037
2015/5/30,25662,24173,22967,22270,21935,21778,21792,22189,24050,26366,27897,28336,28396,28487,27706,26462,25798,25606,25560,25665,26066,26968,27068,25409
2015/5/31,23970,22325,21121,20490,20211,20153,19883,19717,20809,22576,23987,24716,25003,25433,25321,24144,23630,23474,23593,24102,24820,26364,27282,25419
2015/6/1,26304,23940,22118,21015,20518,20478,20926,21676,22195,23806,25842,26754,26633,26664,26154,24866,24346,24812,27582,29150,30122,31077,30449,28235
2015/6/2,29977,27564,26211,25647,25477,26009,28714,33795,37005,38648,39123,38891,38397,38163,36847,36223,36058,36294,37282,39398,39344,38547,36263,33359
2015/6/3,26951,25226,23966,23582,23516,24101,26620,30243,32876,34065,34471,34113,33268,32997,31691,30815,30315,30146,30139,32727,33977,33307,31441,28932
2015/6/4,22074,20416,19458,18927,18769,19078,20299,22130,23314,25280,26446,26783,26807,26841,26275,25150,24680,24496,24354,24745,26626,29240,27549,25145
2015/6/5,25080,23523,22639,22385,22290,22683,24548,26973,29293,30335,31080,31272,31653,31659,30589,29902,29812,29815,29378,29046,29400,30923,29352,26929
2015/6/6,26884,25221,23979,23195,22775,22607,22501,22787,24499,27045,28825,29507,29785,30115,29334,28212,27558,27502,27558,27784,27937,28270,28075,26637
2015/6/7,28037,26040,24743,24031,23822,24162,26002,28276,31415,33910,35826,36590,37971,38841,38572,38284,38365,38364,37583,36767,35809,35262,35204,32926
2015/6/8,28503,26487,25114,24347,23971,24065,25451,26818,29149,31613,33257,34377,35314,36164,35675,35033,34863,34887,34362,33522,32888,33441,32823,30626
2015/6/9,23354,21997,20908,20234,19869,19809,20074,20055,20150,21690,23090,24118,24640,25142,24933,23754,23160,22905,23018,23347,24865,27298,26245,24598
2015/6/10,24921,23633,22948,22483,22330,22732,24578,28359,30123,30987,31701,32110,32496,32360,31143,30374,30249,30313,29938,30335,32656,31947,28818,26217
2015/6/11,24708,23193,22283,21881,21847,22300,24612,28113,29898,30788,31213,31337,31523,31385,30242,29435,29143,29293,31440,32292,32099,31076,28565,26357
2015/6/12,25453,23421,22186,21464,21118,21150,21470,22142,22579,24565,26380,26840,26556,26789,26631,25565,24997,25517,28079,28795,29403,29709,28919,26977
2015/6/13,25724,24243,23028,22460,22104,21855,21801,22198,24019,26242,27908,28469,28518,28493,27541,26377,25516,25402,25376,25596,25646,26549,26635,25069
2015/6/14,23465,22086,21107,20474,20146,20040,19775,19525,20576,22133,23551,24559,24891,25339,25045,23908,23241,23000,23183,23547,24315,25753,26833,25174
2015/6/15,23503,22083,21349,21022,20945,21537,23424,26021,28616,30047,31025,31550,31940,31760,30578,29787,29571,29668,29380,29108,29347,29618,28777,26509
2015/6/16,24991,23568,22668,22372,22341,22678,24233,26596,28719,30011,30742,30892,31466,31451,30430,29642,29552,29667,29369,29253,29354,29571,29296,26767
2015/6/17,25550,23951,22969,22530,22439,22835,24215,26640,28804,29871,31119,31388,31911,32017,30813,30178,30260,30347,30036,30023,30160,29765,29341,27175
2015/6/18,25830,24387,23254,22900,22690,23054,24391,27168,29184,30489,31321,31678,32274,32461,31452,30834,30924,31139,30872,30591,30227,30194,30019,27739
2015/6/19,26493,24918,23887,23593,23450,23767,24991,27292,29467,30966,32098,32478,33020,33211,32136,31341,31332,31457,31213,30986,30408,29911,29609,27876
2015/6/20,26825,25154,24018,23295,22970,22626,22465,22771,24602,26685,28574,29357,29679,29909,29264,28214,27598,27601,27634,27676,27770,27929,28172,26700
